size.time,mean.prob
250kmCurrent,6.88E-08
250kmCurrent,3.89E-08
250kmCurrent,3.80E-08
250kmCurrent,6.68E-08
250kmCurrent,5.37E-08
250kmCurrent,7.22E-08
250kmCurrent,6.78E-08
250kmCurrent,2.75E-08
250kmCurrent,7.21E-08
250kmCurrent,4.58E-08
250kmCurrent,3.38E-08
250kmCurrent,7.10E-08
250kmCurrent,5.43E-08
250kmCurrent,7.10E-08
250kmCurrent,6.85E-08
250kmCurrent,6.90E-08
250kmCurrent,3.72E-08
250kmCurrent,7.12E-08
250kmCurrent,6.35E-08
250kmCurrent,3.26E-08
250kmCurrent,3.30E-08
250kmCurrent,3.18E-08
250kmCurrent,2.41E-08
250kmCurrent,3.89E-08
250kmCurrent,5.03E-08
250kmCurrent,5.78E-08
250kmCurrent,5.15E-08
250kmCurrent,6.64E-08
250kmCurrent,6.59E-08
250kmCurrent,7.38E-08
250kmCurrent,3.56E-08
250kmCurrent,3.46E-08
250kmCurrent,4.60E-08
250kmCurrent,3.22E-08
250kmCurrent,4.17E-08
250kmCurrent,7.12E-08
250kmCurrent,5.16E-08
250kmCurrent,4.96E-08
250kmCurrent,3.83E-08
250kmCurrent,3.98E-08
250kmCurrent,6.60E-08
250kmCurrent,6.99E-08
250kmCurrent,4.14E-08
250kmCurrent,3.54E-08
250kmCurrent,6.51E-08
250kmCurrent,5.24E-08
250kmCurrent,1.70E-08
250kmCurrent,3.54E-08
250kmCurrent,5.09E-08
250kmCurrent,5.21E-08
250kmCurrent,3.77E-08
250kmCurrent,4.00E-08
250kmCurrent,3.47E-08
250kmCurrent,6.48E-08
250kmCurrent,6.46E-08
250kmCurrent,6.66E-08
250kmCurrent,6.02E-08
250kmCurrent,3.87E-08
250kmCurrent,4.12E-08
250kmCurrent,3.75E-08
250kmCurrent,4.65E-08
250kmCurrent,3.41E-08
250kmCurrent,3.90E-08
250kmCurrent,7.07E-08
250kmCurrent,3.92E-08
250kmCurrent,3.61E-08
250kmCurrent,4.67E-08
250kmCurrent,5.40E-08
250kmCurrent,7.01E-08
250kmCurrent,7.37E-08
250kmCurrent,3.73E-08
250kmCurrent,6.79E-08
250kmCurrent,7.18E-08
250kmCurrent,6.75E-08
250kmCurrent,3.25E-08
250kmCurrent,4.83E-08
250kmCurrent,7.19E-08
250kmCurrent,7.00E-08
250kmCurrent,5.24E-08
250kmCurrent,3.52E-08
250kmCurrent,3.98E-08
250kmCurrent,7.06E-08
250kmCurrent,3.80E-08
250kmCurrent,2.58E-08
250kmCurrent,6.45E-08
250kmCurrent,6.73E-08
250kmCurrent,4.32E-08
250kmCurrent,3.95E-08
250kmCurrent,4.53E-08
250kmCurrent,7.21E-08
250kmCurrent,7.26E-08
250kmCurrent,3.52E-08
250kmCurrent,6.86E-08
250kmCurrent,7.21E-08
250kmCurrent,3.88E-08
250kmCurrent,6.14E-08
250kmCurrent,6.76E-08
250kmCurrent,2.74E-08
250kmCurrent,6.50E-08
250kmCurrent,5.07E-08
250kmCurrent,7.03E-08
250kmCurrent,4.98E-08
250kmCurrent,4.02E-08
250kmCurrent,3.80E-08
250kmCurrent,6.90E-08
250kmCurrent,3.95E-08
250kmCurrent,4.32E-08
250kmCurrent,3.96E-08
250kmCurrent,3.73E-08
250kmCurrent,3.62E-08
250kmCurrent,7.14E-08
250kmCurrent,6.47E-08
250kmCurrent,3.18E-08
250kmCurrent,6.65E-08
250kmCurrent,2.49E-08
250kmCurrent,5.69E-08
250kmCurrent,6.77E-08
250kmCurrent,3.24E-08
250kmCurrent,3.67E-08
250kmCurrent,4.79E-08
250kmCurrent,5.31E-08
250kmCurrent,3.71E-08
250kmCurrent,6.48E-08
250kmCurrent,3.66E-08
250kmCurrent,3.78E-08
250kmCurrent,2.87E-08
250kmCurrent,3.32E-08
250kmCurrent,6.65E-08
250kmCurrent,3.89E-08
250kmCurrent,3.48E-08
250kmCurrent,5.03E-08
250kmCurrent,3.71E-08
250kmCurrent,7.13E-08
250kmCurrent,5.64E-08
250kmCurrent,3.18E-08
250kmCurrent,6.45E-08
250kmCurrent,6.55E-08
250kmCurrent,4.14E-08
250kmCurrent,6.65E-08
250kmCurrent,7.14E-08
250kmCurrent,6.65E-08
250kmCurrent,7.20E-08
250kmCurrent,3.67E-08
250kmCurrent,3.45E-08
250kmCurrent,3.79E-08
250kmCurrent,6.80E-08
250kmCurrent,6.26E-08
250kmCurrent,7.33E-08
250kmCurrent,3.65E-08
250kmCurrent,3.59E-08
250kmCurrent,5.18E-08
250kmCurrent,6.38E-08
250kmCurrent,7.35E-08
250kmCurrent,4.04E-08
250kmCurrent,3.99E-08
250kmCurrent,3.63E-08
250kmCurrent,6.52E-08
250kmCurrent,3.92E-08
250kmCurrent,4.50E-08
250kmCurrent,7.33E-08
250kmCurrent,6.44E-08
250kmCurrent,3.53E-08
250kmCurrent,3.44E-08
250kmCurrent,6.54E-08
250kmCurrent,3.41E-08
250kmCurrent,6.51E-08
250kmCurrent,6.99E-08
250kmCurrent,4.09E-08
250kmCurrent,5.52E-08
250kmCurrent,4.10E-08
250kmCurrent,5.59E-08
250kmCurrent,5.83E-08
250kmCurrent,3.17E-08
250kmCurrent,3.08E-08
250kmCurrent,1.71E-08
250kmCurrent,4.33E-08
250kmCurrent,3.95E-08
250kmCurrent,4.96E-08
250kmCurrent,3.84E-08
250kmCurrent,4.89E-08
250kmCurrent,3.44E-08
250kmCurrent,3.51E-08
250kmCurrent,7.20E-08
250kmCurrent,3.72E-08
250kmCurrent,1.88E-08
250kmCurrent,5.46E-08
250kmCurrent,3.97E-08
250kmCurrent,7.25E-08
250kmCurrent,2.08E-08
250kmCurrent,2.81E-08
250kmCurrent,1.84E-08
