"","x"
"1",6.87746921394598e-08
"2",3.89247387784141e-08
"3",3.8013956036841e-08
"4",6.6831491861327e-08
"5",5.36787346347751e-08
"6",7.22002800754747e-08
"7",6.77612516418743e-08
"8",2.74858461764584e-08
"9",7.21494989802677e-08
"10",4.57661801286712e-08
"11",3.38410307181859e-08
"12",7.09713209000813e-08
"13",5.42743214127011e-08
"14",7.09917245306748e-08
"15",6.8487421187013e-08
"16",6.8988291595655e-08
"17",3.71837614692603e-08
"18",7.12380323145189e-08
"19",6.35497792942654e-08
"20",3.2551187175882e-08
"21",3.29783415260847e-08
"22",3.17785248254965e-08
"23",2.41417314720229e-08
"24",3.89398134756335e-08
"25",5.0282952404047e-08
"26",5.77991322823458e-08
"27",5.14752734753123e-08
"28",6.63780851959023e-08
"29",6.5925090379736e-08
"30",7.37609007907176e-08
"31",3.5610334969466e-08
"32",3.46172395119484e-08
"33",4.59828729818354e-08
"34",3.21642577743441e-08
"35",4.16961749150223e-08
"36",7.1229103892455e-08
"37",5.16144127784032e-08
"38",4.96097844563911e-08
"39",3.83349321623484e-08
"40",3.98021009377586e-08
"41",6.59689307551109e-08
"42",6.99487123647345e-08
"43",4.1439446751718e-08
"44",3.53595411758145e-08
"45",6.51272581457709e-08
"46",5.24370807389213e-08
"47",1.69739097017968e-08
"48",3.54262987749825e-08
"49",5.09063830531422e-08
"50",5.20783137235669e-08
"51",3.77238045289597e-08
"52",3.99718346309778e-08
"53",3.47038171762601e-08
"54",6.47635489809653e-08
"55",6.45525702604713e-08
"56",6.66155915564714e-08
"57",6.0166724944087e-08
"58",3.86684133137288e-08
"59",4.1216780863317e-08
"60",3.75319197392238e-08
"61",4.65159898094758e-08
"62",3.41223003991287e-08
"63",3.90400064377178e-08
"64",7.06726670881172e-08
"65",3.9174498408044e-08
"66",3.60853769667126e-08
"67",4.67380034498281e-08
"68",5.39510293122003e-08
"69",7.01012010713391e-08
"70",7.365745810593e-08
"71",3.73454883879788e-08
"72",6.79173405994779e-08
"73",7.18334894212009e-08
"74",6.74709137859252e-08
"75",3.25371758181377e-08
"76",4.83100849869361e-08
"77",7.19369992573698e-08
"78",6.9979333472307e-08
"79",5.24102924811015e-08
"80",3.51735213891737e-08
"81",3.98359179214628e-08
"82",7.0622636750575e-08
"83",3.80404061189159e-08
"84",2.5820791467688e-08
"85",6.44855571484765e-08
"86",6.731962951008e-08
"87",4.32119124579407e-08
"88",3.95301299742248e-08
"89",4.53279032710688e-08
"90",7.20852782891463e-08
"91",7.26338905731779e-08
"92",3.51547897127847e-08
"93",6.855142966277e-08
"94",7.21055037264064e-08
