"","x"
"1",1.44589881527583e-08
"2",2.10796378262588e-08
"3",3.93320027758995e-08
"4",2.06461692638483e-08
"5",3.00645244475049e-08
"6",4.04653716818094e-08
"7",2.26278464546468e-08
"8",3.78135604251682e-08
"9",2.93850277288794e-08
"10",1.36277105843221e-08
"11",9.3391204163282e-09
"12",9.96878145973797e-09
"13",2.2632562115664e-08
"14",1.04541189308864e-08
"15",3.38005003042136e-08
"16",2.36038754454777e-08
"17",4.32133448301713e-08
"18",3.33747906336527e-08
"19",3.46749869013489e-08
"20",9.36472359223337e-09
"21",4.11190156066439e-08
"22",4.31664639200193e-08
"23",3.46897387679383e-08
"24",3.67437384769984e-08
"25",4.13134588301389e-08
"26",1.97615154497519e-08
"27",2.01949255449496e-08
"28",2.02763200984337e-08
"29",2.85252742268466e-08
"30",2.12230193621956e-08
"31",4.05526929507278e-08
"32",1.9523887965569e-08
"33",1.87832031176922e-08
"34",1.73571594328984e-08
"35",1.7034784793255e-08
"36",2.01534662230172e-08
"37",1.32905676142497e-08
"38",2.38743470314324e-08
"39",1.37778633783194e-08
"40",1.96367055780743e-08
"41",3.83404364227873e-08
"42",3.63581219764429e-08
"43",4.40573609025114e-08
"44",4.35298707876881e-08
"45",3.22937240369962e-08
"46",4.35980065400264e-08
"47",3.03123349184235e-08
"48",1.18583570464736e-08
"49",2.07375238048414e-08
"50",2.50560494742827e-08
"51",2.15272826742806e-08
"52",1.32785350200526e-08
"53",1.86574246996286e-08
"54",2.79720322978869e-08
"55",2.31127677848145e-08
"56",1.52870695772866e-08
"57",2.89361040596913e-08
"58",2.98238538641834e-08
"59",2.27690756332274e-08
"60",4.02888313947763e-08
"61",4.43933045475684e-08
"62",3.17807809871893e-08
"63",2.86021529067895e-08
"64",2.24463620096527e-08
"65",1.37593458882749e-08
"66",2.00845952141407e-08
"67",4.31641561367516e-08
"68",4.37329457794674e-08
"69",2.13674325967766e-08
"70",1.04876988277372e-08
"71",3.68823685173098e-08
"72",2.37605952176321e-08
"73",1.36626594250286e-08
"74",1.26117113481867e-08
"75",2.21288472752658e-08
"76",2.25452473150867e-08
"77",3.76345578549925e-08
"78",1.32717427311334e-08
"79",1.16626808071471e-08
"80",3.97182320433248e-08
"81",4.42214329172326e-08
"82",4.35065344323108e-08
"83",2.72624773048131e-08
"84",2.296813906142e-08
"85",2.22740880767385e-08
"86",2.17012534121825e-08
"87",4.29194624195812e-08
"88",4.06816442774735e-08
"89",2.35791142497368e-08
"90",2.58997875967365e-08
"91",4.28871975299698e-08
"92",1.63590567172642e-08
"93",1.94699718376546e-08
"94",1.88671714602368e-08
"95",1.70519920272827e-08
"96",1.64207039778886e-08
"97",1.90541393719814e-08
"98",4.30545483467431e-08
"99",4.38012117163402e-08
"100",1.6067006588096e-08
"101",4.45296481029734e-08
"102",4.33286518341563e-08
"103",1.62533166464684e-08
"104",3.92884478674452e-08
"105",1.02022711478122e-08
"106",4.13113307072741e-08
"107",1.82250087403586e-08
"108",1.99315815329035e-08
"109",1.80970685245368e-08
"110",4.46145333084898e-08
"111",1.95962595704314e-08
"112",2.82612992920589e-08
"113",1.91519981923506e-08
"114",4.29193040206514e-08
"115",3.05017417411444e-08
"116",4.34179949399176e-08
"117",2.24757286261783e-08
"118",2.13879664989066e-08
"119",1.95541563790775e-08
"120",4.32096648207583e-08
"121",2.09570460074614e-08
"122",2.34025668740805e-08
"123",2.59462867793735e-08
"124",1.29378380561466e-08
"125",2.11005780384258e-08
"126",2.29626078729278e-08
"127",1.93385631894229e-08
"128",2.08145271349541e-08
"129",4.11063830445691e-08
"130",2.05882637758806e-08
"131",2.01439799348428e-08
"132",2.01466052651733e-08
"133",3.8260880128996e-08
"134",1.32118161039814e-08
"135",4.35884696071599e-08
"136",4.02357876816253e-08
"137",2.13299113631207e-08
"138",2.39957565310137e-08
"139",4.35341232938357e-08
"140",4.02912360696771e-08
"141",1.94538602911068e-08
"142",1.43089963143859e-08
"143",2.34138729788516e-08
"144",2.96869661344961e-08
"145",1.18401737908212e-08
"146",1.35556795365331e-08
"147",1.01721791970878e-08
"148",1.79538613068056e-08
"149",4.31984846042415e-08
"150",2.98025265400131e-08
"151",1.35762989780843e-08
"152",4.22437350881671e-08
"153",3.63590373953971e-08
"154",2.40393054103698e-08
"155",2.04733474838584e-08
"156",1.65715662732262e-08
"157",1.64954098365474e-08
"158",1.8454965924703e-08
"159",3.51285616391956e-08
"160",4.36939125957553e-08
"161",4.09663201683248e-08
"162",4.41991680102477e-08
"163",1.2637303485063e-08
"164",4.21302507745184e-08
"165",2.35141360505051e-08
"166",4.42356364779078e-08
"167",1.67732763039578e-08
"168",1.40806419796574e-08
"169",3.70445187066895e-08
"170",3.2369951987709e-08
"171",4.31643241662124e-08
"172",3.98505613637038e-08
"173",2.58785320479653e-08
"174",9.99531901054416e-09
"175",4.48363032182522e-08
"176",1.99479372522968e-08
"177",4.10915444428511e-08
"178",4.34886367472001e-08
"179",4.4247930926073e-08
"180",2.42322850423163e-08
"181",4.16083540825449e-08
"182",1.96378915355967e-08
"183",3.97699523281885e-08
"184",4.41904764830471e-08
"185",3.20863672749041e-08
"186",2.7442849403793e-08
"187",3.69355458331384e-08
"188",4.28932685347276e-08
"189",4.47648208236016e-08
"190",1.72757019137633e-08
"191",2.2949723843929e-08
"192",2.02952814388681e-08
"193",1.86816497511226e-08
"194",3.77695961876922e-08
"195",3.17119260402462e-08
"196",3.22434739716913e-08
"197",1.96161562884259e-08
"198",4.1455884414129e-08
"199",3.87022837138885e-08
"200",4.41008577987713e-08
"201",3.97652862747336e-08
"202",2.0886200745101e-08
"203",2.07194893039439e-08
"204",1.0162458920874e-08
"205",3.96818113464612e-08
"206",2.55501079669635e-08
"207",2.14630975737942e-08
"208",2.25226560248016e-08
"209",2.58777353511839e-08
"210",2.02573490620366e-08
"211",3.90779968833205e-08
"212",4.01482140704705e-08
"213",4.03051009553129e-08
"214",1.93764906344101e-08
"215",1.81991834744794e-08
"216",2.22477428973126e-08
"217",4.07010647779733e-08
"218",2.07320343647068e-08
"219",4.00715433077029e-08
"220",2.58226329337863e-08
"221",2.34564338321418e-08
"222",3.0564066675535e-08
"223",2.45764179537611e-08
"224",2.93389608069648e-08
"225",1.30455512246749e-08
"226",2.77141009923705e-08
"227",4.41548013739235e-08
"228",4.22550978636352e-08
"229",1.06936031096434e-08
"230",2.42126620269969e-08
"231",1.86621042806875e-08
"232",2.08140408641139e-08
"233",4.37027979863187e-08
"234",1.95262824990233e-08
"235",3.37684180703343e-08
"236",1.48338803721091e-08
"237",2.0759433124985e-08
"238",4.00905535216526e-08
"239",3.38307973881884e-08
"240",3.38262979007866e-08
"241",2.24317464839914e-08
"242",1.06930657511185e-08
"243",4.07377071362198e-08
"244",2.31528347892767e-08
"245",4.03419308739808e-08
"246",3.2903417372552e-08
"247",3.98001813986305e-08
"248",2.48324443586261e-08
"249",2.94409064912939e-08
"250",4.32137567009235e-08
"251",1.53774048021919e-08
"252",2.11007063367883e-08
"253",4.11513303105742e-08
"254",4.01144399085024e-08
"255",1.96898272108403e-08
"256",2.00045941633611e-08
"257",2.24258048963402e-08
"258",2.37388138947043e-08
"259",2.11713350681614e-08
"260",2.11382401942678e-08
