"","x"
"1",1.92785513689361e-08
"2",4.69067412635244e-09
"3",5.87263618790977e-08
"4",4.95554873226779e-09
"5",1.87628334032846e-08
"6",9.13524056047669e-09
"7",6.73374432947815e-08
"8",5.92605109020308e-09
"9",6.9237154027788e-08
"10",3.62852236681592e-09
"11",4.7822235381326e-09
"12",5.78351818527577e-09
"13",1.47067210460088e-08
"14",5.31263006262583e-09
"15",5.21688562431654e-09
"16",5.89671586705751e-09
"17",1.46180257428332e-08
"18",5.04661307929753e-09
"19",6.17897751684985e-09
"20",4.08476255238137e-09
"21",5.08216936584893e-09
"22",9.58628880339058e-08
"23",6.27295612468366e-08
"24",5.00273040470551e-08
"25",2.70743764410153e-08
"26",3.28812455832714e-09
"27",1.28577451383824e-08
"28",3.45255150106082e-08
"29",5.06448045177745e-09
"30",2.54576412976702e-09
"31",6.65447110731775e-09
"32",9.19644619503676e-09
"33",4.54072384079073e-09
"34",4.59076543342067e-08
"35",9.33291236982267e-09
"36",4.90032002143301e-09
"37",3.07539924666932e-09
"38",4.54992719794342e-09
"39",1.15155310225311e-08
"40",5.08023513463657e-09
"41",4.91486790149669e-08
"42",6.22714688375444e-09
"43",4.91285739769974e-09
"44",2.72998162983446e-08
"45",3.11941926094327e-09
"46",3.63867238432926e-09
"47",4.80561470110742e-09
"48",1.96481416172934e-08
"49",1.52618318455943e-08
"50",6.75908191748878e-09
"51",2.48608639217728e-09
"52",4.12353364679238e-09
"53",2.75206870327437e-09
"54",4.75669136821469e-09
"55",7.84027067659648e-08
"56",4.09612110623060e-09
"57",4.59170298752301e-09
"58",2.35089848584076e-08
"59",5.80384336844095e-09
"60",4.89033708515609e-09
"61",4.21361208890209e-09
"62",2.72888258918763e-08
"63",2.25302040179469e-08
"64",2.06083784635299e-08
"65",5.41674264170612e-09
"66",1.01453039939424e-08
"67",1.45100468406551e-08
"68",2.29585298717552e-09
"69",7.10736744829918e-08
"70",6.22446959287706e-09
"71",4.14466987902387e-08
"72",2.50934210100942e-08
"73",1.44527244237724e-08
"74",1.50727797633173e-08
"75",6.1045513340155e-09
"76",5.83710998604367e-08
"77",7.27387410057111e-08
"78",4.11293538471469e-09
"79",4.32581284508161e-09
"80",5.87682581258681e-08
"81",3.34127349485251e-08
"82",6.9654597424969e-09
"83",4.9648374701805e-09
"84",2.18483129136686e-08
"85",4.87931301721068e-09
"86",4.74156190965091e-08
"87",3.48188501393652e-09
"88",2.31177728951479e-08
"89",5.65060109494365e-09
"90",1.05978139221925e-08
"91",4.86924451924568e-09
"92",4.25459407693763e-09
"93",3.66823778528714e-08
"94",6.46160810721857e-08
"95",5.18587846701218e-09
"96",3.6651478159702e-09
"97",1.34933481250904e-08
"98",3.16260282370668e-08
"99",5.76535601888756e-09
"100",7.31959229331976e-09
"101",1.25936492343386e-08
"102",1.79665203703261e-08
"103",1.72948847261607e-08
"104",8.16271051178304e-08
"105",3.8050991472586e-09
"106",5.70140810066019e-08
"107",9.01811721184318e-09
"108",6.5795701742185e-09
"109",6.47688743819294e-08
"110",8.59714899840041e-09
"111",9.93539224976609e-08
"112",1.84494286589185e-08
"113",1.76605017698849e-08
"114",1.17303346563733e-08
"115",5.16112261692841e-09
"116",4.74824819950451e-09
"117",4.80569303308358e-08
"118",4.12112399494669e-09
"119",1.23345866619051e-08
"120",6.23642191010878e-09
"121",3.24305073039591e-09
"122",6.72568469760523e-08
"123",4.2226451841524e-09
"124",1.52226553366539e-08
"125",4.8675210751531e-09
"126",5.74897330258472e-09
"127",5.01864139781958e-09
"128",7.75845274133576e-09
"129",3.45889836229082e-09
"130",4.52150220970538e-09
"131",4.68119465439827e-08
"132",3.97145076402849e-09
"133",4.70510719512777e-09
"134",3.02477748767292e-09
"135",1.53823945867871e-08
"136",6.84754450067967e-08
"137",5.43839332117015e-08
"138",2.08791561419586e-08
"139",5.00064253284701e-09
"140",4.8600862821095e-09
"141",2.14223287046652e-09
"142",3.54258239412798e-09
"143",5.66578194877312e-09
"144",8.22291633029246e-08
"145",4.94052195332325e-09
"146",3.45480339800523e-08
"147",4.89491187069061e-09
"148",7.46831773777529e-09
"149",5.62278104966751e-09
"150",3.49323090867605e-08
"151",2.01861848143974e-08
"152",1.23893969074916e-08
"153",4.4376066764523e-09
"154",6.60702342333529e-08
"155",1.57897874738812e-08
"156",1.92088914662649e-08
"157",3.50527106094396e-09
"158",4.80900561487923e-09
"159",9.75870950319664e-09
"160",1.78305106512371e-08
"161",6.05281466113461e-09
"162",4.36398890823634e-09
"163",4.26579781164424e-09
"164",6.77561362016371e-08
"165",2.23522648252948e-08
"166",8.55391019266113e-09
"167",4.7149906939073e-09
"168",4.89474631291564e-09
"169",1.14590321901025e-08
"170",4.67555898336831e-09
"171",1.23694996989588e-08
"172",4.85267627164823e-09
"173",2.13497010921208e-08
"174",4.91961674061423e-09
"175",5.31618476827642e-08
"176",2.7454271534522e-09
"177",4.80809119108026e-09
"178",8.27428708808782e-09
"179",1.62561894185775e-08
"180",1.27169403802826e-08
"181",8.1348282538537e-09
"182",5.19646938205911e-09
"183",1.48425195587427e-08
"184",6.95704692901039e-09
"185",7.07608867995224e-08
"186",4.2803866472414e-09
"187",5.36233379120189e-09
"188",4.09174941498502e-09
"189",5.14442831739706e-09
"190",5.06078348604605e-09
"191",4.12013443702573e-09
"192",4.28639077844725e-09
"193",4.9614301544305e-08
"194",4.78713234940283e-09
"195",5.05701175483749e-09
"196",4.59868246886476e-09
"197",5.20852394094039e-09
"198",4.60137614185061e-09
"199",4.78117271109342e-08
