"","x"
"1",2.86942994943325e-08
"2",2.41977823678995e-08
"3",3.2432130457971e-08
"4",1.64618705034263e-08
"5",2.64533564987327e-08
"6",3.162739793711e-08
"7",1.43456594209646e-08
"8",1.29003074535041e-08
"9",6.71545334202937e-09
"10",7.91300167165863e-09
"11",2.86158874753482e-08
"12",2.75381711976747e-08
"13",2.71862775059699e-08
"14",2.91826619533716e-08
"15",1.49466046376977e-08
"16",2.05023630707639e-08
"17",2.12535040459013e-08
"18",2.79232191808583e-08
"19",7.90288663228891e-09
"20",2.65491252665427e-08
"21",1.74824414157061e-08
"22",2.69135942652349e-08
"23",1.80763290968215e-08
"24",2.81668787186179e-08
"25",1.57054168176273e-08
"26",1.28331356365757e-08
"27",6.78375673221978e-09
"28",1.04297215577066e-08
"29",1.88658993806417e-08
"30",1.12022384841794e-08
"31",5.75845381964713e-09
"32",2.42529846409476e-08
"33",2.35486154975397e-08
"34",2.9382194667058e-08
"35",2.16343857741003e-08
"36",1.02299118767842e-08
"37",1.26924392123796e-08
"38",1.77932177595711e-08
"39",2.54250534940265e-08
"40",5.52567853624958e-09
"41",1.75150994080187e-08
"42",3.2840120819087e-08
"43",3.26489124009737e-08
"44",2.78187362117656e-08
"45",2.41356093021025e-08
"46",1.79506879312091e-08
"47",2.49486276657326e-08
"48",1.38761050779991e-08
"49",1.75837180189934e-08
"50",2.97301422992727e-08
"51",3.27293958626464e-08
"52",1.1482668935417e-08
"53",7.04145956649834e-09
"54",2.29753399833856e-08
"55",2.27517888822727e-08
"56",3.26124751406383e-08
"57",1.61725604541112e-08
"58",7.13762417206252e-09
"59",2.0861342848333e-08
"60",1.27369530083268e-08
"61",3.32855153361849e-08
"62",2.01183250597293e-08
"63",1.01571548472433e-08
"64",2.18440083279359e-08
"65",8.196530388693e-09
"66",2.06681389382059e-08
"67",1.80177356947961e-08
"68",2.06177089839523e-08
"69",1.46720257789072e-08
"70",2.73937941861101e-08
"71",1.67185557245884e-08
"72",9.47611535768126e-09
"73",2.79602872430803e-08
"74",2.2873833522729e-08
"75",3.03100006538943e-08
"76",2.56031651164742e-08
"77",1.79934473862537e-08
"78",9.17838489594284e-09
"79",2.85127345285607e-08
"80",2.37203559869757e-08
"81",1.95181882168147e-08
"82",1.95495563408516e-08
"83",3.24466772929128e-08
"84",2.61728458756222e-08
"85",1.91793067434802e-08
"86",1.89801705361151e-08
"87",2.28473304665058e-08
"88",1.68584876137377e-08
"89",2.70272232120991e-08
"90",1.33560049314312e-08
"91",2.57680067034193e-08
"92",3.18252089630494e-08
"93",1.92737502705981e-08
"94",1.62871130310001e-08
"95",1.00420748556065e-08
"96",1.29122227478273e-08
"97",2.69924354697273e-08
"98",1.96245515426789e-08
"99",1.00844648703155e-08
"100",2.36395032504104e-08
"101",3.30014514048369e-08
"102",6.55164219674511e-09
"103",1.67046843285585e-08
"104",1.14863288518359e-08
"105",2.28711648490141e-08
"106",9.31354312859876e-09
"107",2.73314245882277e-08
"108",2.83598698184907e-08
"109",3.15589562617226e-08
"110",1.39603569991289e-08
"111",2.93039720768636e-08
"112",7.04729313319373e-09
"113",2.65059048053823e-08
"114",2.50288418102372e-08
"115",6.79517264813637e-09
"116",1.86157088253829e-08
"117",6.89363031567844e-09
"118",1.19751933450064e-08
"119",2.89664499394722e-08
"120",1.53882322181795e-08
"121",1.27114666229431e-08
"122",1.62042672217672e-08
"123",2.003708836687e-08
"124",2.96276122826832e-08
"125",1.70898344240457e-08
"126",7.70743253185709e-09
"127",2.74518771365302e-08
"128",1.6423611486078e-08
"129",2.58887705023314e-08
"130",2.59506163376882e-08
"131",6.88370034242755e-09
"132",8.59138113182034e-09
"133",1.03592744309797e-08
"134",1.08878894761549e-08
"135",1.96574264979012e-08
"136",1.20301181459813e-08
"137",6.43128136543482e-09
"138",2.55341219862624e-08
"139",1.90847161091311e-08
"140",2.95166135772657e-08
"141",3.08346398763311e-08
"142",1.39414509183377e-08
"143",3.09848690815583e-08
"144",3.3849908663719e-08
"145",2.77908104617598e-08
"146",5.66448464719274e-09
"147",1.38253489651532e-08
"148",2.48830075883713e-08
"149",2.19181792844433e-08
"150",1.86546374523893e-08
"151",1.95129350886042e-08
"152",3.1072062319004e-08
"153",8.87692946743245e-09
"154",2.29006804849543e-08
"155",2.42432248301444e-08
"156",2.36155431690033e-08
"157",2.21295288632506e-08
"158",1.56107355890734e-08
"159",2.79132804454987e-08
"160",2.96848435453079e-08
"161",1.98532709814014e-08
"162",1.00027915332254e-08
"163",2.49639523804613e-08
"164",2.74573078344153e-08
"165",2.42937373667759e-08
"166",2.48674059840286e-08
"167",2.81283301232516e-08
"168",2.52596886239026e-08
"169",1.67008439133564e-08
"170",1.42775193382015e-08
"171",1.81544730517859e-08
"172",9.31383992883883e-09
"173",2.44078054151549e-08
"174",1.8613948758509e-08
"175",3.25785571080756e-08
"176",2.37846112591957e-08
"177",1.79981989920802e-08
"178",2.49834946676418e-08
"179",2.95552000484805e-08
"180",2.985144262013e-08
"181",2.33276217937525e-08
"182",1.55421136630381e-08
"183",9.37985319027883e-09
"184",2.71261159712436e-08
"185",2.08897746751272e-08
"186",2.57611986056035e-08
"187",6.6208756617926e-09
"188",3.33300047133749e-08
"189",2.14721489532769e-08
"190",2.38299163777728e-08
"191",1.34137475056724e-08
"192",1.04166366776625e-08
"193",3.17737049570858e-08
"194",1.44082198175013e-08
"195",1.85503309916881e-08
"196",2.3629368661922e-08
"197",2.135650011411e-08
"198",2.20255486119045e-08
"199",1.05532751557312e-08
"200",1.22289430540556e-08
"201",3.42434616705632e-08
"202",2.83864402368977e-08
"203",2.48048822804191e-08
"204",1.67288931658191e-08
"205",8.98694911346359e-09
"206",1.5908674188713e-08
"207",2.32055540521292e-08
"208",2.82404402706611e-08
"209",2.33552087781384e-08
"210",2.61800545436257e-08
"211",1.93910200275877e-08
"212",9.95593055962343e-09
"213",1.53963586600472e-08
"214",1.48650849427872e-08
"215",2.05493709092095e-08
"216",7.21431175271759e-09
"217",2.93643714546829e-08
"218",1.35447867532734e-08
"219",3.1658560944282e-08
"220",8.41733442018765e-09
"221",1.71368404168858e-08
"222",3.22104808308441e-08
"223",1.87569971579037e-08
"224",2.90967432649189e-08
"225",1.86560954662362e-08
"226",2.0685467531242e-08
"227",1.86055397500052e-08
"228",1.88299356930086e-08
"229",5.80446960832513e-09
"230",2.65414810764109e-08
"231",2.90263975821435e-08
"232",2.1137761180091e-08
"233",1.84163126741109e-08
"234",2.49069573243503e-08
"235",2.25588200210155e-08
"236",3.12222641617643e-08
"237",2.77383877527558e-08
"238",2.72608785397373e-08
"239",3.43326070500377e-08
"240",2.27416838718331e-08
"241",2.43159410669782e-08
"242",6.99940004156104e-09
"243",3.18007086220026e-08
"244",2.63829209448439e-08
"245",1.28652499396547e-08
"246",2.85237615201683e-08
"247",2.3611064483095e-08
"248",1.34793231765364e-08
"249",1.75448123025409e-08
"250",2.98159090590899e-08
"251",1.06186487766499e-08
"252",2.4355031182297e-08
"253",2.83126576042027e-08
"254",1.86216043516437e-08
"255",1.28210917253759e-08
"256",2.05886296250415e-08
"257",2.02791459473892e-08
"258",2.72237966093112e-08
"259",3.23093505374839e-08
"260",2.24754799608345e-08
"261",2.30888350043008e-08
"262",7.53285589301275e-09
"263",2.13862620105895e-08
"264",2.42245184914817e-08
"265",2.74590088632094e-08
"266",1.58379008692739e-08
"267",2.13798132123303e-08
"268",1.70389339859557e-08
"269",1.12072401925126e-08
"270",9.79597482119867e-09
"271",2.24698216969975e-08
"272",1.22615779060789e-08
"273",6.61368687219644e-09
"274",2.61032339414432e-08
"275",1.90856900307561e-08
"276",2.58453477331149e-08
"277",2.36893511823395e-08
"278",1.73201417268898e-08
"279",2.76797826987872e-08
"280",6.85758528992217e-09
"281",9.8671823124069e-09
"282",1.24629521605031e-08
"283",1.95873505784215e-08
"284",1.40246821519234e-08
"285",2.97992528012932e-08
"286",1.35554093927362e-08
"287",1.93390180420698e-08
"288",2.80618205991036e-08
"289",1.77768307300506e-08
"290",1.92470221217094e-08
"291",7.79198130637494e-09
"292",2.12506009370595e-08
"293",1.22219217388365e-08
"294",2.32689294551825e-08
"295",2.44820804835412e-08
"296",7.03624623371619e-09
"297",1.98288631608656e-08
"298",1.7677309991944e-08
"299",5.99620408074498e-09
"300",2.71445213612947e-08
"301",1.68900606334219e-08
"302",1.42772033687691e-08
"303",1.17550212230301e-08
"304",1.16587573568364e-08
"305",2.74467525043341e-08
"306",1.83495617703673e-08
"307",1.41972861872265e-08
"308",2.34703974369047e-08
"309",2.55781977158233e-08
"310",1.42047641791615e-08
"311",7.03167340345582e-09
"312",1.79666911247529e-08
"313",1.08685203655545e-08
"314",2.87727777708648e-08
"315",2.77952089259431e-08
"316",2.85877604456303e-08
"317",1.85494303733237e-08
"318",3.40304441958908e-08
"319",2.41383725300345e-08
"320",1.58328829227147e-08
"321",2.36221116141095e-08
"322",1.81420908740082e-08
"323",1.60186920531997e-08
"324",1.04176099324497e-08
"325",2.48770856805766e-08
"326",1.78343183975095e-08
"327",1.56036347604997e-08
"328",2.52502030754556e-08
"329",3.18531418077724e-08
"330",2.51267955495463e-08
"331",1.85423140440852e-08
"332",6.12944299050694e-09
"333",1.4751573829413e-08
"334",2.3468006225666e-08
"335",7.1499678185572e-09
"336",9.17972256733312e-09
"337",1.37861267116731e-08
"338",2.75213336534689e-08
"339",1.45582172209643e-08
"340",6.10953592639356e-09
"341",1.50219065526915e-08
"342",2.45870103572095e-08
"343",6.29615007015555e-09
"344",1.46614536324575e-08
"345",8.36847635414554e-09
"346",2.64513167435066e-08
"347",1.33583866903942e-08
"348",2.36598041074911e-08
"349",2.62295653130927e-08
"350",7.91988055343787e-09
"351",2.6441888500351e-08
"352",2.78964370150372e-08
"353",1.50940604662712e-08
"354",1.55723964511278e-08
"355",1.43887307501228e-08
"356",2.41197911179878e-08
"357",2.05364446652856e-08
"358",2.77018828971384e-08
"359",3.35576598306743e-08
"360",1.60646449075589e-08
"361",9.97524800300233e-09
"362",9.82420958545763e-09
"363",2.01328988788654e-08
"364",1.30920023447626e-08
"365",1.2108907112183e-08
"366",1.42445885406959e-08
"367",2.76625357194155e-08
"368",2.6373042056344e-08
"369",2.9554673008683e-08
"370",1.57700993359101e-08
"371",1.95717541991979e-08
"372",9.5448017322346e-09
"373",8.02053068298379e-09
"374",2.90742256527414e-08
"375",1.49659138245058e-08
"376",2.39998004606079e-08
"377",2.43186209204809e-08
"378",2.56939371030684e-08
"379",9.81240498221985e-09
"380",1.75134082753484e-08
"381",1.61564418205365e-08
"382",2.58435164244553e-08
"383",7.53950768336007e-09
"384",1.97951387943653e-08
"385",1.85711755622961e-08
"386",2.64473986015941e-08
"387",2.64966406799059e-08
"388",2.5755515596417e-08
"389",1.06033059741765e-08
"390",2.08575330347855e-08
"391",6.20798927592526e-09
"392",3.32829882716496e-08
"393",2.51646018426116e-08
"394",3.03833667218187e-08
"395",2.67235611342255e-08
"396",8.58035890193572e-09
"397",3.30786408028196e-08
"398",1.43041207992879e-08
"399",2.38778844591067e-08
"400",3.30828301936946e-08
"401",1.77160993799397e-08
"402",2.14617803222018e-08
"403",3.02734497566854e-08
"404",1.3064065465906e-08
"405",2.8995428261527e-08
"406",2.49553088161451e-08
"407",1.63952913793656e-08
"408",2.43575172559418e-08
"409",1.82400568583374e-08
"410",1.99173072198118e-08
"411",1.04464222451205e-08
"412",2.18914436706594e-08
"413",2.58512357038375e-08
"414",2.71068885085709e-08
"415",2.55943715610347e-08
"416",2.82015400767041e-08
"417",1.65343457148858e-08
"418",7.88853041204374e-09
"419",7.07734644121495e-09
"420",3.24706059642491e-08
"421",1.21749178803796e-08
"422",2.52439892292292e-08
"423",1.28741250260408e-08
"424",2.73388042238475e-08
"425",2.8643074811542e-08
"426",2.4676427087592e-08
"427",2.84053690565788e-08
"428",2.81409090989833e-08
"429",1.17673639526103e-08
"430",1.99830826495312e-08
"431",3.18373289965122e-08
"432",1.36424123771112e-08
"433",1.69158340764637e-08
"434",2.57210674838148e-08
"435",3.27671956745722e-08
"436",2.43930747113181e-08
"437",2.36648780545887e-08
"438",2.79264757068074e-08
"439",1.82751951897606e-08
"440",7.04234696744873e-09
"441",2.92087722085713e-08
"442",2.52166858946044e-08
"443",2.92716538184724e-08
"444",7.85687137431492e-09
"445",1.92920217646026e-08
"446",1.29559773531564e-08
"447",7.84951991629196e-09
"448",2.9142481047451e-08
"449",2.53489106973016e-08
"450",2.71711376653958e-08
"451",1.99972152430153e-08
"452",2.5275738938904e-08
"453",2.64747932754876e-08
"454",3.08073117694146e-08
