size.time,mean.prob
50kmCurrent,6.69E-08
50kmCurrent,9.32E-08
50kmCurrent,1.16E-08
50kmCurrent,6.91E-08
50kmCurrent,1.63E-08
50kmCurrent,1.31E-08
50kmCurrent,3.96E-08
50kmCurrent,5.61E-08
50kmCurrent,6.48E-08
50kmCurrent,1.11E-08
50kmCurrent,5.94E-08
50kmCurrent,5.44E-08
50kmCurrent,5.58E-08
50kmCurrent,9.42E-08
50kmCurrent,5.26E-08
50kmCurrent,9.67E-08
50kmCurrent,6.27E-08
50kmCurrent,1.23E-08
50kmCurrent,8.57E-08
50kmCurrent,1.08E-08
50kmCurrent,8.66E-08
50kmCurrent,3.61E-08
50kmCurrent,1.23E-08
50kmCurrent,1.15E-08
50kmCurrent,9.13E-08
50kmCurrent,9.17E-09
50kmCurrent,1.67E-08
50kmCurrent,9.93E-09
50kmCurrent,1.20E-08
50kmCurrent,1.09E-08
50kmCurrent,2.76E-08
50kmCurrent,5.63E-08
50kmCurrent,1.08E-08
50kmCurrent,8.69E-09
50kmCurrent,1.03E-07
50kmCurrent,8.73E-09
50kmCurrent,9.94E-08
50kmCurrent,9.07E-09
50kmCurrent,6.80E-08
50kmCurrent,7.03E-08
50kmCurrent,5.45E-08
50kmCurrent,8.19E-09
50kmCurrent,8.27E-09
50kmCurrent,6.81E-08
50kmCurrent,3.48E-08
50kmCurrent,5.82E-08
50kmCurrent,1.76E-08
50kmCurrent,8.50E-09
50kmCurrent,5.59E-08
50kmCurrent,1.15E-08
50kmCurrent,8.31E-08
50kmCurrent,8.23E-08
50kmCurrent,8.17E-09
50kmCurrent,1.62E-08
50kmCurrent,8.05E-08
50kmCurrent,2.13E-08
50kmCurrent,6.63E-08
50kmCurrent,8.48E-09
50kmCurrent,1.05E-08
50kmCurrent,1.18E-08
50kmCurrent,3.71E-08
50kmCurrent,5.61E-08
50kmCurrent,5.97E-08
50kmCurrent,7.21E-08
50kmCurrent,7.52E-08
50kmCurrent,7.81E-08
50kmCurrent,2.76E-08
50kmCurrent,6.69E-08
50kmCurrent,3.11E-08
50kmCurrent,5.07E-08
50kmCurrent,8.79E-09
50kmCurrent,8.57E-09
50kmCurrent,9.14E-09
50kmCurrent,1.47E-08
50kmCurrent,5.05E-08
50kmCurrent,1.56E-08
50kmCurrent,9.55E-08
50kmCurrent,8.16E-08
50kmCurrent,6.43E-08
50kmCurrent,8.57E-09
50kmCurrent,2.10E-08
50kmCurrent,2.92E-08
50kmCurrent,3.77E-08
50kmCurrent,4.91E-08
50kmCurrent,7.36E-08
50kmCurrent,1.05E-08
50kmCurrent,1.11E-08
50kmCurrent,1.16E-08
50kmCurrent,8.86E-08
50kmCurrent,1.26E-08
50kmCurrent,9.15E-08
50kmCurrent,2.67E-08
50kmCurrent,8.99E-09
50kmCurrent,3.73E-08
50kmCurrent,6.89E-08
50kmCurrent,7.37E-08
50kmCurrent,1.13E-08
50kmCurrent,9.07E-08
50kmCurrent,8.65E-08
50kmCurrent,6.72E-08
50kmCurrent,1.11E-08
50kmCurrent,3.21E-08
50kmCurrent,9.29E-08
50kmCurrent,8.85E-08
50kmCurrent,8.76E-08
50kmCurrent,1.34E-08
50kmCurrent,8.56E-09
50kmCurrent,3.07E-08
50kmCurrent,9.02E-08
50kmCurrent,1.63E-08
50kmCurrent,3.65E-08
50kmCurrent,3.24E-08
50kmCurrent,7.72E-08
50kmCurrent,9.86E-09
50kmCurrent,8.56E-08
50kmCurrent,9.22E-09
50kmCurrent,7.33E-08
50kmCurrent,1.00E-08
50kmCurrent,5.67E-08
50kmCurrent,9.21E-08
50kmCurrent,9.24E-09
50kmCurrent,3.18E-08
50kmCurrent,5.74E-08
50kmCurrent,9.15E-08
50kmCurrent,7.62E-08
50kmCurrent,7.91E-08
50kmCurrent,7.56E-08
50kmCurrent,1.08E-08
50kmCurrent,9.06E-08
50kmCurrent,5.20E-08
50kmCurrent,5.01E-08
50kmCurrent,8.27E-09
50kmCurrent,8.89E-09
50kmCurrent,9.56E-09
50kmCurrent,2.11E-08
50kmCurrent,1.58E-08
50kmCurrent,3.96E-08
50kmCurrent,1.92E-08
50kmCurrent,6.87E-08
50kmCurrent,3.14E-08
50kmCurrent,8.20E-08
50kmCurrent,8.26E-08
50kmCurrent,7.26E-08
50kmCurrent,9.88E-09
50kmCurrent,8.06E-08
50kmCurrent,1.09E-08
50kmCurrent,1.53E-08
50kmCurrent,8.70E-08
50kmCurrent,1.42E-08
50kmCurrent,9.81E-09
50kmCurrent,8.75E-09
50kmCurrent,2.16E-08
50kmCurrent,1.46E-08
50kmCurrent,9.15E-08
50kmCurrent,1.77E-08
50kmCurrent,3.48E-08
50kmCurrent,2.08E-08
50kmCurrent,6.80E-08
50kmCurrent,4.21E-08
50kmCurrent,9.33E-09
50kmCurrent,9.16E-08
50kmCurrent,8.48E-08
50kmCurrent,2.32E-08
