"","x"
"1",5.97162973580001e-08
"2",4.02556998328475e-09
"3",4.19694755826609e-08
"4",1.25118207121382e-08
"5",3.15851442339819e-08
"6",5.59464589700891e-08
"7",4.25344570355765e-09
"8",1.74511009507446e-08
"9",6.07181021286308e-09
"10",2.63677984448015e-08
"11",7.38254704074679e-09
"12",4.1333592143631e-09
"13",1.04666529161679e-08
"14",5.73877272238795e-08
"15",6.22191064636581e-09
"16",1.51083040843167e-08
"17",4.40952185525902e-09
"18",4.91582810328541e-08
"19",2.74876852192852e-08
"20",6.97298943433275e-09
"21",3.43208372257658e-08
"22",1.39810126077789e-08
"23",6.20788335853174e-08
"24",5.95664678495768e-09
"25",4.17064147004507e-09
"26",4.01140139604406e-09
"27",6.49570273932389e-09
"28",2.55834057290495e-08
"29",5.18662801792693e-09
"30",2.93813478169952e-08
"31",2.39173190973133e-08
"32",5.82949111163373e-09
"33",1.60615450718344e-08
"34",5.24130972330573e-09
"35",6.49917133543253e-09
"36",4.22471142064754e-08
"37",5.93426696858108e-09
"38",5.96448050649373e-08
"39",3.38367779423593e-08
"40",1.21413424059023e-08
"41",5.59675920052344e-08
"42",4.31044652784689e-09
"43",5.56990172482099e-09
"44",5.66213310810771e-08
"45",7.73862393139885e-09
"46",2.64403554967315e-08
"47",4.91926841282716e-09
"48",4.74409336717329e-08
"49",2.8617959375812e-08
"50",3.86631515845468e-08
"51",4.63345714972065e-08
"52",5.20675213562153e-08
"53",4.55798274818206e-08
"54",2.48882074602298e-08
"55",5.55195530197274e-08
"56",5.02838066455122e-08
"57",4.38928402268123e-09
"58",2.26550611436858e-08
"59",6.01629905509354e-09
"60",5.34195045041161e-08
"61",2.52210889690559e-08
"62",2.86753364170667e-08
"63",5.73956263697061e-08
"64",6.57970957651118e-09
"65",5.57685940668709e-08
"66",6.51850976008466e-09
"67",6.23685334429579e-09
"68",4.58533757037491e-09
"69",5.95426782671753e-08
"70",2.71142336985753e-08
"71",6.04021094402865e-08
"72",3.96983144683187e-09
"73",3.33304508602501e-08
"74",9.13077245852586e-09
"75",8.83766694713819e-09
"76",7.88611947475777e-09
"77",3.98397710898384e-09
"78",7.01223808576454e-09
"79",2.71525405884942e-08
"80",5.73910121987606e-08
"81",2.88397890188641e-08
"82",6.56504048815865e-09
"83",4.37975104798449e-08
"84",5.63046272079089e-08
"85",4.71697007185671e-08
"86",5.2290828875077e-09
"87",8.73931519533002e-09
"88",3.05252218257035e-08
"89",2.56159185804537e-08
"90",2.47750845977527e-08
"91",8.55260571061055e-09
"92",2.95871613741869e-08
"93",5.77149101868074e-09
"94",2.22646734465792e-08
"95",3.12204929858373e-08
"96",6.04672122598115e-09
"97",7.23362822955248e-09
"98",4.47597125465579e-08
"99",4.03495871170112e-09
"100",3.55625903447825e-08
"101",4.78668748541306e-08
"102",5.20663859295214e-08
"103",5.79987979720036e-08
"104",4.41375350522067e-09
"105",3.78938724083388e-08
"106",1.25852935917518e-08
"107",3.83618305276119e-08
"108",4.639136444401e-09
"109",1.14455744954733e-08
"110",5.65612389762587e-08
"111",1.24508937899409e-08
"112",5.82229804089001e-08
"113",5.80819066468904e-09
"114",4.75988229934473e-09
"115",1.12374834799038e-08
"116",2.54465700990632e-08
"117",1.77870915205634e-08
"118",4.07029058153722e-08
"119",4.17635328123879e-08
"120",6.01371312196099e-08
"121",6.15803246768924e-09
"122",1.79517967695562e-08
"123",2.96986934100158e-08
"124",6.95484505142462e-09
"125",5.63607602891906e-08
"126",4.00860226243903e-09
"127",3.23515623475429e-08
"128",1.51803409031844e-08
"129",3.10048217465389e-08
"130",1.47616865843045e-08
"131",2.68469635112281e-08
"132",4.24098648989002e-08
