"","x"
"1",4.02162403541494e-08
"2",5.4400343565183e-09
"3",4.65030318467777e-08
"4",6.90241711610889e-09
"5",5.63339640293182e-08
"6",5.64543292979527e-08
"7",1.99251704281669e-08
"8",4.86767398842044e-08
"9",4.3923289487328e-09
"10",1.01453832082144e-08
"11",4.14551839038805e-09
"12",1.02802756839931e-08
"13",3.66634344138749e-09
"14",4.69067163847242e-08
"15",4.97972706231183e-08
"16",5.57258446820284e-08
"17",9.07111817672616e-09
"18",1.27008735898083e-08
"19",4.96657150354699e-08
"20",5.10533641503076e-09
"21",4.68674383999314e-08
"22",6.93663508281439e-09
"23",1.75045021156932e-08
"24",5.68900719437335e-08
"25",4.13196811741814e-09
"26",9.14984553608374e-09
"27",5.00977733245742e-08
"28",2.11601387244353e-08
"29",5.79501630082029e-09
"30",1.95659604926082e-08
"31",4.63420713084711e-09
"32",4.81617387503444e-08
"33",5.26551574501104e-08
"34",6.8779406148067e-09
"35",4.41055291068267e-08
"36",5.84910027657297e-08
"37",1.81135198821793e-08
"38",3.45221720544547e-08
"39",4.29608709661089e-09
"40",6.42700028251417e-08
"41",4.75152607139139e-08
"42",6.69966646359184e-09
"43",5.17719523811101e-09
"44",7.0216048289362e-09
"45",5.04269985983703e-08
"46",1.43540916105594e-08
"47",1.44655714668907e-08
"48",4.10889885159002e-08
"49",1.90492836300995e-08
"50",1.74781492081593e-08
"51",6.20208105810389e-09
"52",6.9710862164883e-09
"53",4.42334688847052e-08
"54",5.23685527253701e-08
"55",6.22759023342123e-08
"56",1.71347110476674e-08
"57",5.7709124316369e-08
"58",2.04885291537991e-08
"59",1.4017368939743e-08
"60",1.53516239227854e-08
"61",4.3951472836433e-08
"62",4.79048171324949e-08
"63",1.66156180728785e-08
"64",3.77220778633175e-09
"65",5.68884996238601e-09
"66",6.19623862260706e-09
"67",3.42654044739259e-08
"68",3.9393225906093e-08
"69",6.13154836535967e-08
"70",1.37336376988137e-08
"71",7.94636913234475e-09
"72",1.35228713564544e-08
"73",1.76254215244926e-08
"74",3.47359482442575e-08
"75",1.94601733195838e-08
"76",1.06582550113303e-08
"77",6.80465462696845e-09
"78",5.58249926145025e-09
"79",3.1938124718297e-08
"80",2.32304652199291e-08
"81",3.03894389164392e-08
"82",4.76900211583514e-08
"83",6.3648718124662e-09
"84",2.72169329088102e-08
"85",3.77071105167707e-08
"86",5.45583811080808e-08
"87",6.32368386174916e-09
"88",5.43841823032048e-08
"89",2.98304512575368e-08
"90",4.7245254301043e-09
"91",2.68566301823742e-08
"92",7.79666083387609e-09
"93",6.60526696154126e-09
"94",6.5497607210441e-09
"95",3.50804638723761e-09
"96",4.77701600074367e-08
"97",3.67596481110619e-09
"98",4.72254573346114e-08
"99",3.85916004104223e-09
"100",5.15513652659419e-09
"101",1.06596861876826e-08
"102",4.24498013703978e-08
"103",3.93570109544424e-08
"104",7.20704063352782e-09
"105",5.61537631732497e-08
"106",3.60632944843383e-08
"107",5.56459012814651e-09
"108",1.24518060568963e-08
"109",1.9828920914806e-08
"110",6.54518426771288e-08
"111",6.33144065909228e-09
